Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland: Estuarine Forested,17,17,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0876,,,,,
,,,,,Wetland: Estuarine Forested,17,17,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2904,,,,,
,,,,,Wetland: Estuarine Forested,17,17,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2549,,,,,
,,,,,Wetland: Estuarine Forested,17,17,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2248,,,,,
,,,,,Wetland: Estuarine Forested,17,17,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1423,,,,,
,,,,,Wetland: Estuarine Forested,18,18,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0856,,,,,
,,,,,Wetland: Estuarine Forested,18,18,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2928,,,,,
,,,,,Wetland: Estuarine Forested,18,18,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2628,,,,,
,,,,,Wetland: Estuarine Forested,18,18,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2146,,,,,
,,,,,Wetland: Estuarine Forested,18,18,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1442,,,,,
,,,,,Wetland: Estuarine Forested,19,19,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0837,,,,,
,,,,,Wetland: Estuarine Forested,19,19,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2952,,,,,
,,,,,Wetland: Estuarine Forested,19,19,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2705,,,,,
,,,,,Wetland: Estuarine Forested,19,19,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.205,,,,,
,,,,,Wetland: Estuarine Forested,19,19,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1456,,,,,
,,,,,Wetland: Estuarine Forested,20,20,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0819,,,,,
,,,,,Wetland: Estuarine Forested,20,20,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2977,,,,,
,,,,,Wetland: Estuarine Forested,20,20,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2779,,,,,
,,,,,Wetland: Estuarine Forested,20,20,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1958,,,,,
,,,,,Wetland: Estuarine Forested,20,20,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1467,,,,,
,,,,,Wetland: Estuarine Forested,21,21,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0801,,,,,
